Column1,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,warning,definition
38,39,和,基礎,第1級,核心詞,5437,2135,"[['和', ['19016', '19190', '19725', '19883', '20369', '20436']]]",ㄏㄢˋ / ㄏㄜˊ,hàn/hé,TRUE,"(joining two nouns) and; together with; with (Taiwan pr. [han4]), (math.) sum, to make peace, (sports) to draw, to tie, (bound form) harmonious, (bound form) Japan; Japanese "
125,126,臺灣人/台灣人,基礎,第1級,1.個人資料,5,11,[],ㄊㄞˊ ㄨㄢ  ㄖㄣˊ  ,táiwānrén,FALSE,Taiwanese
532,533,台/臺,基礎,第2級,核心詞,127,241,"[['台', ['40317']], ['臺', ['10062']]]",ㄊㄞˊ ,tái,FALSE,"platform, stage, terrace, stand, support, station, broadcasting station, classifier for vehicles or machines "
1420,1421,沒(有)用,進階,第4級,核心詞,0,0,[],ㄇㄟˊ (ㄧㄡˇ) ㄩㄥˋ,méi(yǒu)yòng,FALSE,useless
1525,1526,一邊(兒),進階,第4級,核心詞,137,65,[],ㄧˋ ㄅㄧㄢ(ㄦ),yìbiān(r),FALSE,"one side, either side, on the one hand, on the other hand, doing while"
1624,1625,巷口,進階,第4級,2.日常起居,3,1,[],ㄒㄧㄤˋ ㄎㄡˇ,xiàngkǒu,FALSE,entrance to an alley
1826,1827,中文系,進階,第4級,8.教育、學習,3,3,[],ㄓㄨㄥ ㄨㄣˊ ㄒㄧˋ,zhōngwénxì,FALSE,Chinese department
2246,2247,拉鍊,進階,第4*級,9.購物、商店,2,0,"[['拉鍊', ['13167']]]",ㄌㄚ ㄌㄧㄢˋ,lāliàn,FALSE,zipper
2512,2513,吸菸,進階,第4*級,2.日常起居,6,2,"[['吸菸', ['26248']]]",ㄒㄧ ㄧㄢ,xīyān,FALSE,to smoke (tobacco)
3709,3710,看診,進階,第5級,7.身體、醫療,6,10,"[['看診', ['45269']]]",ㄎㄢˋ ㄓㄣˇ,kànzhěn,FALSE,"(of a doctor) to see a patient; to give a consultation, (of a patient) to see a doctor "
3781,3782,冷冰冰,進階,第5級,16.情緒、態度,4,3,"[['冷冰冰', ['13864']]]",ㄌㄥˇ ㄅㄧㄥ ㄅㄧㄥ,lěngbīngbīng,FALSE,very cold; describe an indifferent attitude
4044,4045,評量,進階,第5級,8.教育、學習,20,4,"[['評量', ['3378']]]",ㄆㄧㄥˊ ㄌㄧㄤˊ,píngliáng,FALSE,to evaluate
4062,4063,奇蹟,進階,第5級,核心詞,31,24,"[['奇蹟', ['24507']]]",ㄑㄧˊ ㄐㄧ,qíjī,FALSE,"miracle, wonder, marvel"
4073,4074,企業界,進階,第5級,3.職業,13,6,[],ㄑㄧˋ ㄧㄝˋ ㄐㄧㄝˋ,qìyèjiè,FALSE,corporate world
4236,4237,傻事,進階,第5級,核心詞,3,1,"[['傻事', ['33876']]]",ㄕㄚˇ ㄕˋ,shǎshì,FALSE,stupid thing
4252,4253,上鎖,進階,第5級,2.日常起居,4,1,[],ㄕㄤˋ ㄙㄨㄛˇ,shàngsuǒ,FALSE,"to lock, to be locked "
4276,4277,身旁,進階,第5級,核心詞,33,5,[],ㄕㄣ ㄆㄤˊ,shēnpáng,FALSE,beside of one's body
4339,4340,石子,進階,第5級,13.自然環境,7,1,[],ㄕˊ ˙ㄗ,shízi,FALSE,"stone, pebble"
4417,4418,痠痛,進階,第5級,7.身體、醫療,8,5,"[['痠痛', ['39229']]]",ㄙㄨㄢ ㄊㄨㄥˋ,suāntòng,FALSE,soreness and pain
4418,4419,算帳,進階,第5級,核心詞,3,1,"[['算帳', ['39248']]]",ㄙㄨㄢˋ ㄓㄤˋ,suànzhàng,FALSE,to settle an account
4648,4649,舞台劇,進階,第5級,4.休閒、娛樂,5,5,[],ㄨˇㄊㄞˊㄐㄩˋ,wǔtáijù,FALSE,stage play
4694,4695,閒逛,進階,第5級,4.休閒、娛樂,5,1,"[['閒逛', ['27367']]]",ㄒㄧㄢˊ ㄍㄨㄤˋ,xiánguàng,FALSE,walk around aimlessly.
4700,4701,限量,進階,第5級,9.購物、商店,2,3,"[['限量', ['27504', '27505']]]",ㄒㄧㄢˋ ㄌㄧㄤˋ,xiànliàng,FALSE,limited quantity
4722,4723,項鍊,進階,第5級,9.購物、商店,8,8,"[['項鍊', ['28083']]]",ㄒㄧㄤˋ ㄌㄧㄢˋ,xiàngliàn,FALSE,necklace (項鏈)
4756,4757,新進,進階,第5級,3.職業,8,4,"[['新進', ['27752']]]",ㄒㄧㄣ ㄐㄧㄣˋ,xīnjìn,FALSE,"new to the department, new to official career, or just appointed"
4986,4987,原來如此,進階,第5級,核心詞,7,6,"[['原來如此', ['44759']]]",ㄩㄢˊ ㄌㄞˊ ㄖㄨˊ ㄘˇ,yuánláirúcǐ,FALSE,(idiom) so that's how it is; I see
5139,5140,之餘,進階,第5級,核心詞,23,9,[],ㄓ ㄩˊ,zhīyú,FALSE,remainder of
5223,5224,轉帳,進階,第5級,11.公共服務,1,1,"[['轉帳', ['30984']]]",ㄓㄨㄢˇ ㄓㄤˋ,zhuǎnzhàng,FALSE,to transfer (money to a bank account) (轉賬)
5549,5550,長久以來,精熟,第6級,,14,7,[],ㄔㄤˊ ㄐㄧㄡˇ ㄧˇ ㄌㄞˊ,chángjiǔyǐlái,FALSE,It's been a long time.
5561,5562,超乎,精熟,第6級,,11,4,[],ㄔㄠ ㄏㄨ,chāohū,FALSE,exceeding
5656,5657,觸控,精熟,第6級,,2,14,[],ㄔㄨˋ ㄎㄨㄥˋ,chùkòng,FALSE,touchscreen
5763,5764,大夥兒,精熟,第6級,,12,3,"[['大夥兒', ['7150']]]",ㄉㄚˋ ㄏㄨㄛˇㄦ,dàhuǒr,FALSE,everyone
5768,5769,大開眼界,精熟,第6級,,3,3,"[['大開眼界', ['7121']]]",ㄉㄚˋ ㄎㄞ ㄧㄢˇ ㄐㄧㄝˋ,dàkāiyǎnjiè,FALSE,to increase your knowledge and broaden your horizons
5776,5777,大勢,精熟,第6級,,7,1,"[['大勢', ['7308']]]",ㄉㄚˋ ㄕˋ,dàshì,FALSE,overall situation; high status and powerful; large scale and large quantity
5906,5907,動線,精熟,第6級,,2,4,"[['動線', ['45260']]]",ㄉㄨㄥˋ ㄒㄧㄢˋ,dòngxiàn,FALSE,walking line
5951,5952,多采多姿,精熟,第6級,,4,2,"[['多采多姿', ['9415']]]",ㄉㄨㄛ ㄘㄞˇ ㄉㄨㄛ ㄗ,duōcǎiduōzī,FALSE,"describes the variety of postures and bright and charming colors. Later it was extended to mean that the content is rich, gorgeous and varied."
5956,5957,多加,精熟,第6級,,8,6,[],ㄉㄨㄛ ㄐㄧㄚ,duōjiā,FALSE,"be more (e.g. careful, as in 多加小心)"
6012,6013,氾濫,精熟,第6級,,7,12,"[['氾濫', ['5651']]]",ㄈㄢˋ ㄌㄢˋ,fànlàn,FALSE,to flow across the river and overflows everywhere; a metaphor for the abnormal growth or excessive proliferation of things
6211,6212,隔年,精熟,第6級,,9,13,[],ㄍㄜˊ ㄋㄧㄢˊ,génián,FALSE,the next year
6647,6648,艱困,精熟,第6級,,5,8,"[['艱困', ['22856']]]",ㄐㄧㄢ ㄎㄨㄣˋ,jiānkùn,FALSE,hard times; hardships
6719,6720,藉機,精熟,第6級,,5,3,"[['藉機', ['22282']]]",ㄐㄧㄝˋ ㄐㄧ,jièjī,FALSE,to take advantage of opportunities
6723,6724,街角,精熟,第6級,,5,1,"[['街角', ['22039']]]",ㄐㄧㄝ ㄐㄧㄠˇ,jiējiǎo,FALSE,the corner of the street
6738,6739,結實,精熟,第6級,,13,7,"[['結實', ['22044', '22090']]]",ㄐㄧㄝˊ ㄕˊ,jiéshí,TRUE,strong; to be certain
6784,6785,僅有,精熟,第6級,,16,7,"[['僅有', ['23233']]]",ㄐㄧㄣˇ ㄧㄡˇ,jǐnyǒu,FALSE,only
