,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,definition
0,1,愛,基礎,第1級,核心詞,535,681,"[['愛', ['39542']]]",ㄞˋ,ài,"to love, to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen)"
1,2,吧,基礎,第1級,核心詞,706,748,"[['吧', ['32', '103']]]",˙ㄅㄚ,ba,"(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume."
2,3,八,基礎,第1級,核心詞,214,163,"[['八', ['1']]]",ㄅㄚ,bā,"eight, 8"
3,4,爸爸/爸,基礎,第1級,核心詞,226,806,"[['爸爸', ['82']], ['爸', ['81']]]",ㄅㄚˋ ˙ㄅㄚ / ㄅㄚˋ,bàba/bà,"(coll.) father, dad, CL:個|个[ge4], 位[wei4]"
4,5,百,基礎,第1級,核心詞,108,77,"[['百', ['157', '334']]]",ㄅㄞˇ,bǎi,"hundred, numerous, all kinds of"
5,6,半,基礎,第1級,核心詞,334,279,"[['半', ['960']]]",ㄅㄢˋ,bàn,"half, semi-, incomplete, (after a number) and a half"
6,7,本,基礎,第1級,核心詞,745,368,"[['本', ['1054']]]",ㄅㄣˇ,běn,"root, stem, origin, source, this, the current, original, inherent, originally, classifier for books, periodicals, files etc"
7,8,不,基礎,第1級,核心詞,9278,8951,"[['不', ['1911', '5466']]]",ㄅㄨˋ,bù,"no, not so, (bound form) not, un-"
8,9,茶,基礎,第1級,10.餐飲、烹飪,89,449,"[['茶', ['31581']]]",ㄔㄚˊ,chá,"tea, tea plant, CL:杯[bei1], 壺|壶[hu2]"
9,10,車子/車,基礎,第1級,核心詞,275,320,[],ㄔㄜ ˙ㄗ / ㄔㄜ,chēzi/chē,"car or other vehicle (bicycle, truck etc)"
10,11,吃,基礎,第1級,核心詞,668,1438,"[['吃', ['21385', '31362']]]",ㄔ,chī,"to eat, to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer (shock, injury, defeat etc)"
